,Fold1,Fold2,Fold3,Fold4
loss,1.8332353212569803,2.21208861527296,1.4469937166899751,1.309139536116934
mae,1.833235263824463,2.2120888233184814,1.4469939470291138,1.309139370918274
mse,30.777633666992188,54.50517654418945,16.14468002319336,13.86397647857666
rmse,3.7134177684783936,4.827054977416992,2.783705234527588,2.494976282119751
pearson,0.9595175981521606,0.9219751358032227,,0.9757161140441895
val_loss,1.7065515192327918,1.836661655608922,1.130682137641278,3.1941049177568037
val_mae,1.7065515518188477,1.836661696434021,1.130682349205017,3.1941049098968506
val_mse,8.779317855834961,7.963303089141846,2.9251904487609863,40.7035026550293
val_rmse,1.857630968093872,2.0444183349609375,1.231918454170227,3.49127459526062
val_pearson,0.25436583161354065,0.10986850410699844,0.2357163429260254,0.21099132299423218
