,Likelihood_Loss,KL_Loss,Loss,mae,mse
0,266.7820129394531,681.3200950622559,[293.34124731415227],[8.88678],[255.97147]
1,268.5979919433594,677.7166442871094,[293.5987539708578],[8.918176],[257.06882]
2,262.49072265625,674.347900390625,[291.7408038484264],[8.862327],[256.33972]
3,266.2118835449219,671.240234375,[291.8392930985672],[8.818794],[255.20152]
4,265.580078125,668.0070571899414,[289.83940090665976],[8.745402],[254.18605]
5,270.35919189453125,664.7836303710938,[290.35648214795015],[8.771022],[254.40366]
6,266.6057434082031,661.4886817932129,[290.12581744050067],[8.780613],[254.72409]
7,263.1701354980469,658.4380149841309,[290.1155727854204],[8.74677],[254.50833]
8,260.9635009765625,655.5742530822754,[289.12563664782436],[8.719607],[253.72102]
9,262.7842102050781,652.9020347595215,[288.4635888626747],[8.700046],[253.19139]
10,257.4444580078125,650.4642066955566,[287.79515908664933],[8.720631],[254.05258]
11,261.9404296875,648.1171455383301,[287.8711718960596],[8.696533],[253.44072]
12,257.8537292480469,645.9235153198242,[287.5606137861533],[8.700262],[252.58607]
13,251.1819610595703,644.4911041259766,[284.2752979346726],[8.578538],[250.3105]
14,253.8267822265625,643.8263168334961,[273.4811057644866],[8.300801],[242.53828]
15,250.25474548339844,643.599666595459,[207.4604935613739],[6.87202],[202.9062]
16,187.29380798339844,643.497241973877,[199.60790782465438],[6.4404116],[175.66078]
17,214.1283416748047,643.4808044433594,[203.39869688061088],[7.027452],[197.60078]
18,296.048583984375,643.3757476806641,[161.22709387816255],[6.066251],[160.26648]
19,203.37734985351562,643.3087768554688,[176.89592379078186],[7.0615425],[195.6022]
20,206.31167602539062,643.207389831543,[163.42750218380255],[6.46904],[180.79501]
21,186.80210876464844,643.0773315429688,[130.11658928824735],[5.710216],[143.2401]
22,195.61827087402344,642.9426918029785,[155.44519313734693],[6.566647],[178.46696]
23,188.01898193359375,642.7291984558105,[122.88387493667085],[6.085682],[146.25662]
24,187.11834716796875,642.5046234130859,[133.68127887746985],[5.940969],[172.1894]
25,189.5438690185547,642.3357429504395,[119.89180164724974],[5.967208],[154.451]
26,202.3531036376953,642.1132278442383,[108.49203483454622],[5.273945],[127.88556]
27,194.7272491455078,641.8986778259277,[110.59557202915607],[5.946744],[151.00531]
28,294.8937072753906,641.6307716369629,[102.73971941672353],[5.420544],[132.69464]
29,238.86468505859375,641.2570419311523,[79.85186996036889],[4.6208506],[92.78098]
30,218.6935272216797,641.0388412475586,[99.21538792608406],[5.7811604],[135.60114]
31,183.9893035888672,640.7635498046875,[85.70820861412138],[5.079563],[105.04018]
32,192.75071716308594,640.5162010192871,[81.49391139060424],[5.21761],[127.24081]
33,215.2366485595703,640.3177452087402,[83.91922369608524],[5.1777987],[123.92019]
34,187.1321258544922,640.0695686340332,[72.41862904283637],[4.9073625],[104.89582]
35,201.75833129882812,639.7963066101074,[70.75890034213157],[4.824484],[98.390305]
36,195.05470275878906,639.4460182189941,[56.614288010423884],[3.9849563],[67.65659]
37,193.1356658935547,639.1338691711426,[62.4427176691174],[4.240121],[80.32765]
38,195.51449584960938,638.844654083252,[66.13989131596084],[4.762236],[105.37967]
39,152.61502075195312,638.5700263977051,[61.22901362044827],[4.2468963],[84.373405]
40,170.36180114746094,638.3152770996094,[61.30725763054153],[5.1310134],[176.88326]
41,166.58702087402344,637.9773445129395,[57.07921549808223],[4.4904585],[102.6516]
42,198.1844024658203,637.7490653991699,[58.81289594583282],[4.7232857],[102.34972]
43,161.89952087402344,637.3188438415527,[53.39710079764262],[4.217889],[86.015594]
44,186.4590301513672,636.9623565673828,[53.51601306964641],[4.382411],[121.00382]
45,185.15785217285156,636.4896278381348,[47.887203073178405],[3.9170854],[62.4768]
46,195.4646759033203,635.8953552246094,[45.87676244184549],[3.6748016],[57.09851]
47,158.09925842285156,635.4951705932617,[51.96632685399834],[4.442026],[77.32967]
48,169.42518615722656,635.1882972717285,[57.86566031427201],[5.1816306],[147.52782]
49,167.59886169433594,634.8250503540039,[50.91764508128093],[4.2294416],[90.15786]
50,195.0306854248047,634.4876861572266,[49.75630744562719],[4.3559375],[77.93421]
51,228.75645446777344,633.9903717041016,[41.47162760031201],[3.4318995],[62.929718]
52,149.94122314453125,633.4356384277344,[41.24892274641506],[3.8634074],[68.653175]
53,157.69024658203125,632.9096183776855,[45.316106429602435],[4.039838],[78.50838]
54,181.84886169433594,632.4029731750488,[44.85226587094573],[4.3684897],[83.87357]
55,178.07969665527344,631.886604309082,[46.69702297922864],[4.6028085],[135.75166]
56,147.24554443359375,631.3204650878906,[40.733141280366404],[3.9440324],[67.0795]
57,146.47572326660156,630.6390571594238,[41.17439918494562],[4.1444283],[79.39745]
58,175.66537475585938,629.9986190795898,[41.93454266593402],[3.7671127],[60.814392]
59,163.48936462402344,629.2645950317383,[41.13264516570725],[3.877292],[70.961716]
60,142.19386291503906,628.6428413391113,[38.85591823556727],[3.6258774],[57.745316]
61,148.47557067871094,627.8956718444824,[42.162607798220854],[4.663352],[133.40732]
62,168.43865966796875,627.2101058959961,[39.30167009561648],[4.4564548],[168.77815]
63,165.70834350585938,626.381591796875,[35.46006208808791],[3.7238278],[114.198814]
64,161.08616638183594,625.4898643493652,[36.4057826278978],[3.541088],[50.377262]
65,143.8457794189453,624.7295875549316,[37.97694531415468],[3.6376872],[52.93544]
66,160.99288940429688,624.0252418518066,[36.07299993659564],[3.6405606],[57.5]
67,153.1976776123047,623.1394920349121,[35.90712554000883],[3.7850785],[65.52971]
