,Likelihood_Loss,KL_Loss,Loss,mae,mse
0,265.01708984375,681.1551094055176,[291.50652119089483],[8.831229],[255.82037]
1,268.2220764160156,677.5140113830566,[291.2800020604536],[8.801719],[255.51006]
2,261.6247253417969,674.357048034668,[290.16053049930144],[8.755219],[254.66255]
3,265.6680603027344,671.7961540222168,[289.86113765808216],[8.777749],[254.22963]
4,266.60369873046875,670.4956932067871,[286.2072961681505],[8.689415],[250.49014]
5,276.57073974609375,669.9143142700195,[247.2320773253379],[8.017484],[226.47484]
6,308.1757507324219,669.5809059143066,[211.44910128646916],[7.1592784],[212.51425]
7,230.30416870117188,669.3073768615723,[193.88656500571315],[7.0605407],[212.10458]
8,229.7880401611328,669.0257606506348,[189.56337194154824],[6.698955],[200.45271]
9,205.85678100585938,668.6926383972168,[166.573252477546],[6.339952],[180.75954]
10,213.4864959716797,668.3760032653809,[155.84482077118503],[6.1759267],[173.04303]
11,423.9620361328125,668.0215873718262,[142.80912570401026],[6.1007967],[158.06297]
12,184.021240234375,667.7361869812012,[156.68353765068125],[6.015625],[165.06337]
13,196.7367706298828,667.4924049377441,[141.0588546630709],[6.138564],[165.07411]
14,183.8311004638672,667.147045135498,[105.49488277752607],[5.221884],[126.64358]
15,191.79795837402344,666.863208770752,[116.56178643067383],[5.694256],[143.06593]
16,201.07691955566406,666.6520690917969,[131.93597523753317],[6.2938147],[171.35487]
17,193.91539001464844,666.398494720459,[104.66013797799967],[5.3578362],[137.15433]
18,195.34808349609375,666.125789642334,[87.59459231477128],[5.41901],[117.51503]
19,235.76632690429688,665.7864303588867,[83.1320723876201],[5.3199687],[125.081665]
20,180.90625,665.5323867797852,[97.50309591475491],[5.5199428],[148.79568]
21,192.77182006835938,665.2237968444824,[79.37063619316322],[4.997549],[115.29871]
22,175.98622131347656,664.9621315002441,[87.44261631286959],[5.4391146],[126.279015]
23,194.4871826171875,664.5700149536133,[82.1230391915463],[5.323743],[134.94226]
24,199.52883911132812,664.1646919250488,[71.67499673388582],[4.803823],[93.73177]
25,213.7496337890625,663.8597793579102,[76.49490151725577],[5.4118247],[149.21996]
26,206.20738220214844,663.5590019226074,[74.69530352852775],[5.1632924],[129.33177]
27,178.34432983398438,663.2671432495117,[72.67950069970432],[5.210172],[122.35773]
28,181.86294555664062,662.8747367858887,[61.016748692764594],[4.6434245],[88.96971]
29,164.7198944091797,662.4108200073242,[59.605746127614545],[4.345465],[93.6811]
30,147.95518493652344,662.0486907958984,[69.13085380925563],[5.467936],[135.00542]
31,188.01708984375,661.6986961364746,[61.29011954015519],[5.2660785],[134.80951]
32,211.37879943847656,661.1868629455566,[51.639466544837035],[4.3196664],[106.30795]
33,155.41275024414062,660.6561050415039,[57.45808792114258],[5.1294947],[157.95557]
34,167.21470642089844,660.1028442382812,[50.83748567478934],[4.3622212],[91.01856]
35,180.7939453125,659.656307220459,[54.005826248479195],[5.026144],[197.6117]
36,164.72097778320312,659.2181663513184,[60.01167656034139],[5.364038],[245.98799]
37,196.08273315429688,658.7095031738281,[52.44047231433279],[4.5990987],[211.86888]
38,164.8648223876953,658.2321739196777,[55.47157158795802],[4.8577027],[165.01381]
39,138.14817810058594,657.6469993591309,[47.30186643853132],[4.0164633],[103.90174]
40,163.0985107421875,657.1020812988281,[51.30255916687125],[4.7747602],[88.581436]
41,175.0712890625,656.5709762573242,[50.91397779632775],[4.4675784],[104.85809]
42,143.1466827392578,656.0026435852051,[48.41033014660622],[5.1863093],[235.9108]
43,149.5099639892578,655.3607292175293,[48.30993170982074],[5.0191975],[175.19969]
44,150.56028747558594,654.6447639465332,[45.92563741499453],[4.2985787],[128.89967]
45,147.75328063964844,653.7881050109863,[42.25350621917405],[4.2963543],[134.4966]
46,152.70526123046875,653.0265121459961,[45.68325725985543],[4.494572],[110.395805]
47,148.7568817138672,652.223331451416,[45.171484133379],[4.3866773],[112.4383]
48,146.501953125,651.2985153198242,[41.21235258698243],[4.062003],[90.513336]
49,161.4420623779297,650.3853645324707,[44.44716490806067],[4.565235],[112.571915]
50,177.1050262451172,649.5510711669922,[52.50589459337574],[4.9533195],[142.10712]
51,149.57008361816406,648.6215476989746,[42.060797277087424],[4.176643],[90.69236]
52,121.10029602050781,647.7180404663086,[41.86711305816895],[4.4654956],[117.63849]
53,143.0820770263672,646.6197357177734,[39.28388425529701],[3.8859317],[75.81939]
54,160.28192138671875,645.579906463623,[41.742757967645126],[4.2317076],[106.35436]
55,161.3292694091797,644.5516738891602,[41.66967101223441],[4.206442],[88.10331]
56,157.85562133789062,643.4864845275879,[38.980296120258735],[4.1661096],[97.95394]
57,150.94309997558594,642.4914588928223,[42.42439574866257],[4.8952],[103.71974]
58,146.68765258789062,641.5048904418945,[40.518945349636304],[4.368658],[125.92414]
59,153.2881317138672,640.3640937805176,[37.435414028108966],[4.0561275],[70.803215]
60,142.48031616210938,639.2494049072266,[41.5904909840206],[4.48427],[93.72652]
61,138.6615753173828,637.9567260742188,[34.599209722588256],[3.3790207],[52.02519]
62,123.51680755615234,636.8149261474609,[37.81806669158841],[4.412251],[101.4611]
63,156.47117614746094,635.7065124511719,[38.7470403449152],[4.6868973],[139.01048]
64,134.74229431152344,634.5573387145996,[35.20567373016038],[3.933512],[80.48844]
65,164.15283203125,633.4292030334473,[36.403834772491926],[4.745967],[177.73431]
66,142.13734436035156,632.0746192932129,[34.52729854830532],[4.641039],[228.72859]
67,159.064208984375,630.6567306518555,[34.29759264491769],[4.442684],[209.44312]
68,167.4015655517578,629.0567092895508,[33.464287089772675],[3.632926],[85.91837]
69,169.5592803955078,627.5357933044434,[33.49388019141046],[3.628757],[95.07621]
70,119.49688720703125,625.9523468017578,[33.033138315103265],[3.8364732],[101.49552]
71,137.49293518066406,624.8316497802734,[41.06409475381773],[5.7644415],[187.35133]
72,118.77217102050781,623.4689331054688,[32.103427566133455],[3.6142292],[63.47041]
73,118.06172943115234,621.9958724975586,[32.3665822723069],[3.8406925],[79.046776]
74,126.75540161132812,620.6589622497559,[35.01228284806435],[4.1441293],[81.846725]
75,133.27041625976562,619.2792663574219,[34.104492328523925],[4.564115],[156.30447]
76,134.11260986328125,617.7435913085938,[31.36922964282926],[3.5712101],[74.83751]
77,130.69268798828125,616.1475143432617,[31.96702610704536],[3.8909988],[67.86345]
78,110.01184844970703,614.5459136962891,[31.450664597826833],[3.6966517],[61.494114]
79,129.35018920898438,613.0247001647949,[31.983162858202657],[3.776704],[75.80671]
80,128.97264099121094,611.5897026062012,[31.973225664666458],[3.8277617],[56.70835]
81,123.63528442382812,610.0836410522461,[31.41390483642315],[3.61144],[73.474236]
82,119.80509948730469,608.4697914123535,[30.842819632238175],[3.4910986],[53.233837]
83,116.45368194580078,607.0849151611328,[31.319678872438104],[3.8589175],[74.34323]
84,139.24478149414062,605.5577430725098,[30.606707706322144],[3.6294875],[58.261875]
85,99.07660675048828,603.870677947998,[28.993173736741493],[3.0629518],[41.05226]
86,139.43362426757812,602.1955642700195,[30.691236547680454],[3.914685],[75.24628]
87,121.78009796142578,600.6008720397949,[29.946555513110486],[3.5117414],[57.3607]
88,109.74305725097656,598.8723411560059,[29.526422499435153],[3.497586],[59.930824]
89,99.07620239257812,597.3378067016602,[31.343927324662882],[4.269806],[76.87207]
90,142.26177978515625,595.6419677734375,[29.16714705762787],[3.652803],[73.19198]
91,132.71531677246094,594.0286026000977,[31.68783720231541],[4.0851817],[110.89507]
92,122.47210693359375,592.3277130126953,[27.6368871607754],[3.0688865],[74.23843]
93,111.89198303222656,590.6799087524414,[31.106756928373983],[4.035876],[110.372955]
94,125.05380249023438,589.0804290771484,[28.342455602470768],[3.737711],[108.64123]
95,103.61551666259766,587.4709396362305,[29.178838593535268],[3.8524916],[68.00054]
96,123.46452331542969,585.9213409423828,[32.15477113847151],[4.6537046],[197.14352]
97,96.3041000366211,584.2528953552246,[27.47262632942317],[3.330909],[71.87109]
98,126.00428009033203,582.6972961425781,[29.447068406561606],[3.8530529],[87.321686]
99,104.28125,580.9902725219727,[27.671998774351636],[3.109987],[38.29501]
100,119.57865142822266,579.3870620727539,[28.313538577772555],[3.6870646],[81.08858]
101,134.94091796875,577.9229698181152,[29.18869662328921],[3.958798],[73.84233]
102,106.45307922363281,576.3175811767578,[29.637611109462696],[3.630579],[65.50558]
103,117.9771499633789,574.7318344116211,[27.877211363317052],[3.5932672],[66.61136]
