,MAE,RMSE,R,Lag
2014/15_1,8.054,10.114,0.877,-5.0
2015/16_1,8.151,10.508,0.801,26.0
2016/17_1,6.005,7.822,0.826,-18.0
2017/18_1,10.796,17.894,0.777,18.0
2014/15_2,4.36,6.173,0.93,-1.0
2015/16_2,3.273,5.248,0.84,8.0
2016/17_2,2.458,3.715,0.914,-16.0
2017/18_2,4.009,4.96,0.96,15.0
2014/15_3,2.039,2.802,0.908,-1.0
2015/16_3,2.969,4.637,0.823,-83.0
2016/17_3,2.41,3.609,0.909,-16.0
2017/18_3,4.426,7.783,0.971,6.0
2014/15_4,3.455,5.082,0.916,-1.0
2015/16_4,3.27,5.191,0.877,17.0
2016/17_4,1.945,3.058,0.888,-16.0
2017/18_4,4.139,6.972,0.971,6.0
2014/15_5,8.161,10.203,-0.737,225.0
2015/16_5,8.359,10.684,-0.623,-195.0
2016/17_5,6.105,7.907,-0.462,-142.0
2017/18_5,10.819,17.915,0.523,16.0
2014/15_6,2.831,4.265,0.912,9.0
2015/16_6,3.355,5.434,0.854,17.0
2016/17_6,1.954,3.053,0.907,-16.0
2017/18_6,4.33,6.717,0.956,6.0
2014/15_7,1.868,2.506,0.92,-1.0
2015/16_7,3.781,5.925,0.878,8.0
2016/17_7,1.878,2.833,0.94,-12.0
2017/18_7,3.944,5.787,0.964,6.0
2014/15_8,1.7,2.481,0.918,-1.0
2015/16_8,3.256,5.224,0.851,17.0
2016/17_8,2.166,3.308,0.9,-17.0
2017/18_8,3.826,5.205,0.962,6.0
2014/15_9,8.096,10.149,-0.789,173.0
2015/16_9,8.223,10.572,-0.045,10.0
2016/17_9,5.916,7.746,0.791,-12.0
2017/18_9,10.852,17.943,-0.805,216.0
2014/15_10,1.872,2.541,0.914,13.0
2015/16_10,3.782,5.924,0.846,8.0
2016/17_10,1.964,3.034,0.918,-17.0
2017/18_10,4.585,5.696,0.946,5.0
2014/15_11,2.072,3.184,0.905,7.0
2015/16_11,2.646,4.011,0.829,-86.0
2016/17_11,1.876,2.908,0.917,-9.0
2017/18_11,4.286,6.521,0.965,6.0
2014/15_12,2.574,4.045,0.905,-1.0
2015/16_12,3.175,5.203,0.879,9.0
2016/17_12,2.148,3.311,0.906,-16.0
2017/18_12,4.148,6.296,0.964,5.0
2014/15_13,7.99,10.055,0.832,1.0
2015/16_13,7.591,10.007,0.742,23.0
2016/17_13,5.06,6.96,0.838,-7.0
2017/18_13,10.565,17.702,0.818,18.0
2014/15_14,2.352,3.635,0.913,-1.0
2015/16_14,3.516,5.655,0.86,8.0
2016/17_14,2.169,3.34,0.918,-17.0
2017/18_14,3.785,4.672,0.967,6.0
2014/15_15,2.157,3.356,0.902,-1.0
2015/16_15,2.948,4.552,0.869,-25.0
2016/17_15,1.937,2.989,0.93,-16.0
2017/18_15,4.08,6.661,0.971,6.0
2014/15_16,2.773,4.232,0.915,-1.0
2015/16_16,2.796,4.165,0.818,-83.0
2016/17_16,2.299,3.467,0.916,-18.0
2017/18_16,3.992,7.142,0.97,6.0
2014/15_17,7.949,10.033,-0.366,-121.0
2015/16_17,4.829,7.471,0.779,25.0
2016/17_17,2.61,3.961,0.892,-13.0
2017/18_17,10.833,17.917,0.747,17.0
2014/15_18,4.092,5.869,0.916,-1.0
2015/16_18,3.277,5.342,0.85,9.0
2016/17_18,1.76,2.851,0.892,-16.0
2017/18_18,4.092,5.705,0.961,6.0
2014/15_19,3.448,5.016,0.901,-1.0
2015/16_19,3.11,4.962,0.863,-25.0
2016/17_19,1.886,2.933,0.916,-9.0
2017/18_19,4.28,6.848,0.958,6.0
2014/15_20,2.448,3.736,0.919,-1.0
2015/16_20,3.223,5.339,0.848,9.0
2016/17_20,2.184,3.35,0.899,-16.0
2017/18_20,4.347,7.244,0.958,5.0
2014/15_21,7.897,9.991,-0.675,186.0
2015/16_21,6.105,8.691,0.777,25.0
2016/17_21,3.634,5.49,0.898,-13.0
2017/18_21,10.682,17.795,0.803,19.0
2014/15_22,1.545,2.235,0.934,9.0
2015/16_22,3.135,5.067,0.868,8.0
2016/17_22,2.304,3.498,0.913,-16.0
2017/18_22,4.6,7.749,0.968,6.0
2014/15_23,2.428,3.737,0.92,-1.0
2015/16_23,3.035,4.858,0.875,8.0
2016/17_23,2.188,3.362,0.881,-10.0
2017/18_23,4.779,8.691,0.95,5.0
2014/15_24,2.47,3.838,0.918,-1.0
2015/16_24,2.839,4.324,0.862,-25.0
2016/17_24,2.286,3.475,0.906,-16.0
2017/18_24,4.994,9.461,0.964,6.0
2014/15_25,6.783,8.957,0.864,4.0
2015/16_25,3.914,6.134,0.873,25.0
2016/17_25,3.184,4.595,0.856,-9.0
2017/18_25,10.592,17.727,0.843,19.0
2014/15_26,2.677,3.961,0.888,8.0
2015/16_26,3.156,5.142,0.889,8.0
2016/17_26,2.103,3.289,0.916,-16.0
2017/18_26,3.835,5.079,0.967,6.0
2014/15_27,2.506,3.919,0.914,-1.0
2015/16_27,3.626,5.76,0.827,-83.0
2016/17_27,2.16,3.342,0.924,-16.0
2017/18_27,4.472,7.804,0.955,6.0
2014/15_28,3.463,5.024,0.928,-1.0
2015/16_28,3.26,5.264,0.861,8.0
2016/17_28,2.051,3.188,0.917,-16.0
2017/18_28,4.052,6.647,0.972,6.0
2014/15_29,7.638,9.757,0.74,-68.0
2015/16_29,3.136,5.003,0.865,11.0
2016/17_29,2.243,3.425,0.879,-10.0
2017/18_29,7.236,13.631,0.832,18.0
2014/15_30,2.226,3.494,0.917,-20.0
2015/16_30,3.701,5.856,0.881,17.0
2016/17_30,2.172,3.322,0.917,-16.0
2017/18_30,4.17,6.201,0.961,16.0
2014/15_31,2.003,3.14,0.909,-1.0
2015/16_31,4.03,6.189,0.88,17.0
2016/17_31,2.528,3.73,0.915,-16.0
2017/18_31,5.128,9.367,0.955,5.0
2014/15_32,1.788,2.827,0.933,-1.0
