,loss,mae,mse,rmse
0,43265.13264264345,43265.12109375,202293264384.0,209787.5
1,24714.453824278447,24714.455078125,76443459584.0,128838.4140625
2,19979.138536210812,19979.138671875,54630486016.0,101772.15625
3,20128.314795217546,20128.314453125,47763914752.0,99072.2421875
4,22421.227505806437,22421.23046875,64583847936.0,113119.7265625
5,20259.215996082487,20259.212890625,54981533696.0,101507.1796875
6,21823.20846148252,21823.212890625,61471420416.0,112159.9921875
7,19723.80768922588,19723.810546875,55414968320.0,99254.265625
8,20455.800193341354,20455.794921875,54898118656.0,102758.9375
9,17271.92415051488,17271.921875,29978365952.0,87076.4140625
10,20060.768765850135,20060.76953125,51339177984.0,101929.53125
11,19276.697900700376,19276.701171875,51354103808.0,95590.2890625
12,20104.06704162809,20104.05859375,51282620416.0,98566.0546875
13,18437.500280353408,18437.501953125,44293357568.0,96627.234375
14,20767.00107462002,20767.00390625,49377263616.0,103979.0703125
15,19816.51854654948,19816.51953125,41784119296.0,97603.1640625
16,19613.73772537953,19613.740234375,45601292288.0,100958.578125
17,19008.459377151103,19008.458984375,40830164992.0,96751.859375
18,19114.17536053685,19114.169921875,42504962048.0,93128.40625
19,18769.17431011266,18769.177734375,43599609856.0,94258.2734375
20,18689.707439610043,18689.708984375,40910389248.0,86345.7265625
21,19394.512842800046,19394.509765625,39307902976.0,97382.5
22,20318.704584479416,20318.7109375,56509587456.0,99308.6640625
23,17625.630028960724,17625.625,36481683456.0,88553.8125
24,19313.049083976348,19313.046875,48469016576.0,100737.09375
25,19324.47671327162,19324.4765625,38633897984.0,99577.3828125
26,18477.131865054154,18477.134765625,37577629696.0,96196.1796875
27,19575.871548409115,19575.875,49640693760.0,93335.3046875
28,20453.48793594202,20453.49609375,59244314624.0,100332.2890625
29,18591.680221800492,18591.677734375,42698166272.0,93121.2890625
30,18395.719086333982,18395.72265625,39792783360.0,95153.90625
31,18665.55369797017,18665.5546875,42546417664.0,92907.796875
32,19340.228732296284,19340.232421875,38290141184.0,93602.3359375
33,20998.443082798447,20998.44140625,60147314688.0,106826.0390625
34,19350.724287382873,19350.7265625,43446779904.0,98805.6953125
35,18560.899329999243,18560.90234375,38707810304.0,92386.2421875
36,17776.978402129178,17776.9765625,37074165760.0,94483.4375
37,19804.703223156077,19804.693359375,40581750784.0,98147.8984375
38,18586.80038572529,18586.798828125,42388475904.0,96086.125
39,21202.62084459703,21202.625,49922998272.0,111887.1875
40,18175.49777280814,18175.5,40850989056.0,88492.9375
41,18164.334169826485,18164.326171875,37023940608.0,96094.875
42,18737.81242129492,18737.810546875,43127394304.0,90204.21875
43,19762.57913608573,19762.580078125,50648768512.0,98514.2734375
44,20001.458246081922,20001.45703125,41562836992.0,98599.6015625
45,18669.77785765616,18669.775390625,43296075776.0,90561.4609375
46,16894.97993071137,16894.9765625,31382347776.0,85371.4921875
47,18372.88178832726,18372.87890625,36851322880.0,93367.90625
48,19885.213717746403,19885.2109375,53336608768.0,105375.15625
49,18082.461388415257,18082.45703125,39460012032.0,90255.1640625
50,18732.56671144514,18732.568359375,40414523392.0,88370.5859375
51,19364.55125171613,19364.548828125,55922843648.0,95822.84375
52,18994.822722490215,18994.822265625,39416516608.0,97736.609375
53,19365.14988382905,19365.14453125,45919985664.0,97592.625
54,19389.397786718808,19389.392578125,44335890432.0,99879.734375
55,17523.31702699232,17523.3203125,33155919872.0,90482.125
56,19304.909152232238,19304.908203125,41606705152.0,99296.7734375
57,19727.624657104916,19727.623046875,53700874240.0,101488.7265625
58,19526.181654845415,19526.17578125,32017590272.0,95758.2578125
59,18982.180773066924,18982.181640625,38453092352.0,94524.625
60,18784.053529516306,18784.056640625,44310028288.0,91541.0390625
61,18724.541238505397,18724.544921875,46350725120.0,94619.8359375
62,19461.861973591138,19461.859375,52422983680.0,101207.328125
63,18862.038101396924,18862.037109375,45768273920.0,94107.1640625
64,18605.286595602596,18605.283203125,44709310464.0,92827.9296875
65,16277.963675477624,16277.96484375,28825219072.0,79643.265625
66,19835.17028461531,19835.171875,47640023040.0,95370.9453125
