,loss,mae,mse,rmse
0,40993.15378457398,40993.1484375,163798564864.0,197036.46875
1,35009.97893950747,35009.9765625,108993413120.0,164714.84375
2,28769.528932120338,28769.52734375,65179066368.0,135635.59375
3,31167.559651390715,31167.564453125,102281674752.0,148665.796875
4,26384.768494538002,26384.771484375,51406819328.0,133893.5
5,29339.89093428138,29339.89453125,82229002240.0,144679.9375
6,29357.668734940013,29357.66796875,74244243456.0,150497.953125
7,26219.214217239856,26219.212890625,57361158144.0,129713.2265625
8,31859.166343276756,31859.171875,95589359616.0,162396.140625
9,24273.404909619727,24273.408203125,59728637952.0,113652.8125
10,25819.68096964254,25819.67578125,52695314432.0,129152.9375
11,27870.251840542554,27870.24609375,61656682496.0,133742.984375
12,25209.64525132917,25209.640625,60257177600.0,120829.46875
13,30334.904628924436,30334.904296875,87561134080.0,145607.96875
14,22017.512565507386,22017.505859375,51344805888.0,105575.9375
15,25073.53771868073,25073.541015625,52327940096.0,121652.2734375
16,23957.877230016198,23957.875,54802571264.0,117608.734375
17,27154.988340363085,27154.98828125,71484366848.0,134313.328125
18,24049.43209709787,24049.431640625,48378523648.0,118787.5859375
19,26175.43908464338,26175.43359375,59287085056.0,125201.2578125
20,26381.135251927648,26381.130859375,63794647040.0,127508.8984375
21,24864.001652033618,24864.0,47750029312.0,122802.421875
22,28107.049417032285,28107.052734375,73058205696.0,137284.5625
23,24150.12472535122,24150.1171875,52088315904.0,116856.0390625
24,23899.29654026532,23899.296875,53673713664.0,111788.21875
25,24974.648526203782,24974.6484375,65895780352.0,122364.8203125
26,25087.4754907008,25087.474609375,47935340544.0,121788.34375
27,25480.477039625704,25480.4765625,53645369344.0,124791.140625
28,24647.785298973147,24647.787109375,61150167040.0,121173.6796875
29,25140.977914751882,25140.974609375,49768947712.0,119849.578125
30,23360.590518149376,23360.58984375,47500406784.0,109366.3046875
31,25395.213456693567,25395.2109375,52271632384.0,124512.5703125
32,22996.257499533473,22996.25390625,45370155008.0,106475.734375
33,25776.593686101758,25776.587890625,50986078208.0,121072.109375
34,27530.9504117315,27530.951171875,96287162368.0,124873.3203125
35,23263.205356073806,23263.203125,44605030400.0,119862.4296875
36,25461.13768719022,25461.1328125,49116483584.0,128071.1640625
37,23929.032233779686,23929.033203125,50842988544.0,116874.625
38,24036.971146623895,24036.97265625,49831723008.0,120585.4140625
39,23942.98225310262,23942.98046875,48158818304.0,113308.1796875
40,21533.92706298828,21533.92578125,40061505536.0,104381.921875
41,25509.809100001195,25509.81640625,57495887872.0,126355.859375
42,27596.84212820601,27596.837890625,63470407680.0,134981.0625
43,21748.642242214937,21748.642578125,37322936320.0,107833.609375
44,24057.798926277195,24057.802734375,51920846848.0,118366.5390625
45,25510.63107758652,25510.634765625,59078098944.0,125950.9140625
46,24042.944191066155,24042.943359375,65489321984.0,119266.84375
47,23595.869109909563,23595.873046875,42455437312.0,119799.859375
48,25027.158935697626,25027.154296875,47980515328.0,118642.9140625
49,23636.081852016938,23636.080078125,60191088640.0,117302.3046875
50,23631.944144540746,23631.9375,44260040704.0,126330.4765625
51,24008.165141310874,24008.16796875,62831042560.0,110724.65625
52,23218.340407347085,23218.326171875,39061151744.0,113801.5859375
53,23986.298427835,23986.294921875,56370548736.0,112091.4609375
54,24592.308093597137,24592.30859375,54366699520.0,122919.3046875
55,23461.015819995922,23461.013671875,51422695424.0,121026.3359375
56,26368.833117295137,26368.83984375,65749737472.0,127043.03125
57,25072.32578188315,25072.330078125,56971620352.0,124537.21875
58,21899.291491883887,21899.29296875,43563114496.0,102992.0859375
59,24150.558221786985,24150.552734375,52403081216.0,121889.1796875
60,25622.497703464505,25622.49609375,66023731200.0,118235.3203125
61,23140.68398980956,23140.685546875,51297132544.0,112212.765625
62,27323.192582085972,27323.189453125,85959024640.0,142000.65625
63,23555.38984384799,23555.388671875,44522840064.0,121135.421875
64,23099.954782088476,23099.94921875,49079345152.0,114797.4609375
65,20417.902851515766,20417.8984375,36708433920.0,96965.3203125
66,24547.43964363609,24547.443359375,63350009856.0,117630.5078125
67,24421.820161862444,24421.822265625,55369588736.0,119764.6796875
68,22740.334176612658,22740.333984375,44512108544.0,111579.8828125
69,23552.38613070953,23552.388671875,50128564224.0,117353.5703125
70,25198.766037943627,25198.767578125,53677514752.0,122596.8984375
71,24110.151562466082,24110.158203125,55799066624.0,123465.4140625
72,23882.272204777826,23882.26953125,50519822336.0,107590.1015625
73,24334.819795788128,24334.81640625,51359539200.0,110763.53125
74,23746.611095158765,23746.62109375,48325373952.0,117846.96875
75,23582.196425962906,23582.197265625,46176206848.0,112764.7421875
76,19659.15486241594,19659.16015625,36990799872.0,93726.9296875
77,22159.271135499795,22159.2734375,43422035968.0,104766.734375
78,22796.63198467654,22796.62890625,46012399616.0,101006.3359375
79,22089.78379150937,22089.775390625,43671883776.0,109663.046875
80,25464.92417952469,25464.931640625,54735880192.0,120247.71875
81,22988.948592192744,22988.9453125,45218693120.0,112993.0390625
82,23446.045415206394,23446.04296875,49523888128.0,116917.7578125
83,24103.529818274277,24103.533203125,51267198976.0,112077.390625
84,22284.223804803645,22284.220703125,52510969856.0,108971.296875
85,25264.773218610102,25264.783203125,71795408896.0,120408.7578125
86,23895.968075584136,23895.96875,45729775616.0,114952.859375
87,25019.795938230953,25019.798828125,62092840960.0,115998.9609375
88,21940.584879271886,21940.591796875,46570348544.0,103872.5859375
89,21429.107359384747,21429.107421875,35271749632.0,95927.9765625
90,23859.149007846707,23859.146484375,56760524800.0,117351.0234375
91,22332.958752793787,22332.958984375,44258955264.0,112747.3125
92,23762.06654179365,23762.0625,56714436608.0,113744.0
93,24700.022685687825,24700.017578125,61368213504.0,116895.0234375
94,23586.04173040434,23586.04296875,42861817856.0,115794.8125
95,24916.091256708598,24916.08984375,52786642944.0,119285.6796875
96,23863.48311457453,23863.4765625,42923708416.0,110947.1015625
97,23840.167683900232,23840.169921875,48947642368.0,111048.8203125
98,24176.694354084106,24176.69921875,56693760000.0,119431.9765625
99,23640.28282217819,23640.279296875,47698255872.0,118021.6796875
